Epoch,dice_coeff,iou,fp,fn,precision,recall,fscore,train_loss,val_loss
0,0.4300276327290033,0.2796859615727475,6493.002364309211,233618.6953125,0.9340498494474512,0.2854517396343382,0.43002428114414215,-0.6025437947535357,-0.3674527179253729
1,0.7212451414058083,0.569040911762338,20159.764854029607,37451.66324013158,0.7927053492320212,0.6664837214507555,0.7212365850021965,-0.6280017927387692,-0.7427129855281428
2,0.8145272245532588,0.6905787940088072,9232.371710526315,30387.87345805921,0.9094792275052321,0.742282761554969,0.8145182336631575,-0.8533384863114515,-0.788464240337673
3,0.8370642960071564,0.7228175386002189,22134.865851151317,7028.209806743421,0.7751697678315012,0.9140201038435886,0.8370531075879147,-0.8642073210501513,-0.8150304838230735
4,0.8598058537433022,0.7565320479242426,7303.1018708881575,21711.34529194079,0.9280640137823004,0.8042006116164359,0.8597962746494695,-0.8900735311160813,-0.8400970775830118
5,0.8537050815005052,0.7475922107696533,21154.80314555921,5483.400904605263,0.7902476254262423,0.9324753504050406,0.8536937707348874,-0.8814957114244928,-0.831121491758447
6,0.8766277118733055,0.7826096697857505,10851.858655427632,13443.818564967105,0.8922801582436812,0.8649308163868753,0.8766173877214131,-0.8979204210224531,-0.8723135747407612
7,0.8678153894449535,0.7689046781314047,18371.890522203947,5875.325349506579,0.8148752796022516,0.931396976897591,0.8678041602435865,-0.886943013857532,-0.8491442281948892
8,0.8802360876610404,0.788366542050713,12743.67341694079,10325.856907894737,0.8733777701854706,0.8904979966188732,0.8802254529375779,-0.902181113792571,-0.8832541029704245
9,0.8563575117211593,0.7515563902102018,21440.102025082237,4276.109118009868,0.7842028862551639,0.9472323907049078,0.85634603782704,-0.8904247094463829,-0.8305731996109611
10,0.8694153381021399,0.7713653617783597,18297.70703125,5772.4219777960525,0.817324592878944,0.9320029741839359,0.8694041057636863,-0.8885342151123956,-0.8889186601889761
11,0.8754881965486627,0.7808554407797361,15930.729646381578,7468.987356085527,0.8406326833524203,0.9163805654174403,0.8754771775320956,-0.8939453233156772,-0.8632710089809016
12,0.874583606657229,0.7792585978382512,16461.901161595393,7064.2298005756575,0.8358325126924013,0.92006107066807,0.8745725452899933,-0.8945266505740336,-0.8888853788375854
13,0.8759918369744953,0.7818689958045357,16069.79296875,6895.012643914473,0.8378300400156724,0.9211085344615736,0.8759807975668656,-0.8974466225169352,-0.8625866111956144
14,0.8744035927872909,0.7791674999814284,16741.279965049343,6660.661646792763,0.8323363693136918,0.923978683195616,0.8743924843637567,-0.8909750478157145,-0.8899675105747423
15,0.8737935596390775,0.778344209256925,16621.090511924343,6856.134919819079,0.8332331211943376,0.9218175222999171,0.8737824888605821,-0.8981487597061308,-0.8595430882353532
16,0.8742630120955015,0.7789232856348941,16957.462890625,6248.840871710527,0.8296058899477908,0.927251586788579,0.874251873869645,-0.893269014279574,-0.8908566111012509
17,0.8724714297997324,0.7761300363038716,17470.70954975329,6114.2135587993425,0.8253426645931444,0.9286712768830752,0.8724602602030102,-0.9008896090336983,-0.8558846476830935
18,0.8670156739260021,0.7677708644615976,18901.48843544408,5511.035104851973,0.81116499869447,0.9346190785106859,0.8670044039425097,-0.897043695907719,-0.8880218863487244
19,0.8757072075417167,0.7812315351084659,15888.647717927632,7331.469161184211,0.8400328724007857,0.9177245466332686,0.8756961963678661,-0.9002662897109985,-0.863190150574634
20,0.8713788562699368,0.7745222590471569,17768.311163651317,5963.329872532895,0.8224826643341466,0.9299301787426597,0.8713676662821519,-0.8965548422952362,-0.8896464485871164
21,0.8770417445584348,0.7833450750300759,15294.593236019737,7858.479543585527,0.8471614577268299,0.912199047050978,0.8770308149488348,-0.8979271512157869,-0.8665524407436973
22,0.8730683703171579,0.7772561358778101,17169.982319078947,6309.5079152960525,0.8279851408381211,0.9264283619428936,0.8730572430711043,-0.8940988719858081,-0.8897935261851863
23,0.8665157462421217,0.7669604216751299,19178.479183799343,5191.378546463816,0.80802489111298,0.9379449972980901,0.8665044260652441,-0.8993137332777313,-0.8457953835788526
24,0.8738686442375183,0.7785499488052569,16272.597964638158,7333.077611019737,0.8377805775717685,0.9164896936793077,0.8738576581603602,-0.8948474115883278,-0.887242444251713
